Brewery,Country,Founded,Most_selling,Founders
Amundsen Brewery,Norway,2011,Apocalytic Thunder Juice,NA
Anheuser-Busch,USA,1852,Budweiser,"Adolphus Busch, Eberhard Anheuser"
Ballast Point Brewing Company,USA,1996,Ballast Point Pale Ale	,Jack White
Bayerische Staatsbrauerei Weihenstephan,Germany,1040,Weihenstephaner Hefeweissbier,NA
Beavertown,England,2011,Gamma Ray,Logan Plant
Beerbliotek,Sweden,2012,"A Moment of Clarity",NA
Brooklyn Brewery,USA,1988,Brooklyn Lager,"Steve Hindy, Tom Potter"
Birra Moretti,Italy,1859,Birra Moretti L'Autentica,Luigi Moretti
Birra Peroni,Italy,1849,Peroni Nastro Azzurro,Francesco Peroni
Blue Moon Brewing Company,USA,1995,Belgian White,NA
Boon Rawd Brewery,Thailand,1933,Singha,NA
Boston Beer Company,USA,1984,Samuel Adams Boston Lager,"Jim Koch, Rhonda Kallman"
Brauerei Beck,Germany,1873,Beck's,"Heinrich Beck, Lüder Rutenberg, Franz Gustav Thomas May"
Brekeriet,Sweden,2012,Sour & Salt,"Fredrik Ek, Christian Ek, André Ek"
BrewDog,Scotland,2007,Punk IPA,"James Watt, Martin Dickie"
Brewski,Sweden,2014,Mangofeber DIPA,"Marcus Hjalmarsson, Alfred Olsson"
Brouwerij 3 Fonteinen,Belgium,1887,Oude Geuze,NA
Brouwerij Hoegaarden,Germany,1966,Hoegaarden Wit / Blanche,Pierre Celis
Brouwerij Lindemands,Belgium,1822,Framboise,Frans Lindemans
Brouwerij Rodenbach,Belgium,1821,Grand Cru,"Pedro Rodenbach, Alexander Rodenbach, Ferdinand Rodenbach, Constantijn Rodenbach"
Brauerei Göss,Austria,1860,Gösser Export,NA
Brutal Brewing,Sweden,2011,A Ship Full of IPA,NA
Budějovický Budvar,The Czech Republic,1895,Budvar,NA
Carlsberg,England,1847,Carlsbergs Lager,NA
Cervisiam,Norway,2015,Bad Mango,NA
Cigar City Brewing,USA,2007,Jai Alai,Joey Redner
Clown Shoes,USA,2009,Space cake,Gregg Berman
Collective Arts Brewing,Canada,2014,Ransack the Universe,"Matt Johnston, Bob Russell"
Connecticut Valley Brewing Company,USA,2018,Trailblazer NEIPA,NA
CoolHead Brew,Finland,2016,Salted Licorice Raspberry Sour,NA
Desnoes & Geddes,Jamaica,1918,Red Stripes,"Eugene Peter Desnoes, Thomas Hargreaves Geddes"
Duckpond Brewing,Sweden,2016,Hop Slayer,Nikola Sarcevic
Dugges Bryggeri,Sweden,2005,Tropic Thunder,Mikeal Dugge Engström
Duvel Moortgat,Belgium,1871,Duvel,NA
Eagle Brewery,England,2018,Young's Double Chocolate Stout,NA
Einstök Ölgerð,Iceland,2010,Icelandic White Ale,NA
Electric Nurse,Sweden,2012,Electric Nurse Pale Ale,"Ida Engström, Peter Robertsson"
Erdinger Weissbräu,Germany,1886,Erdinger Weißbier,NA
Fermenterarna,Sweden,2018,Fermenterarna IPA,Niclas Aronsson
Founders Brewing Company,USA,1997,All Day IPA,"Mike Stevens, Dave Engbers"
Gotlands Bryggeri,Sweden,1995,Sleepy Bulldog Pale Ale,NA
Great Divide Brewing Company,USA,1994,Yeti,Brian Dunn
Grupo Modelo,Mexico,1922,Corona Extra,Antonino Fernández Rodríguez
Guinness,Ireland,1759,Guinness Draught,Arthur Guinness
Göteborgs Nya Bryggeri,Sweden,2008,Go' IPA,"Nina Rothausen, Marc Rothausen, Martin Lundh, Peter Thulin, Johan Nydewall"
Hartwall,Finland,1836,Lapin Kulta,Victor Hartwall
Heineken ,Netherlands,1864,Heineken,Gerard Adriaan Heineken
Höganäs Bryggeri,Sweden,2013,Miss Behave IPA,Lukas Östberg
Kackelbryggeriet,Sweden,2014,ÖPA,NA
Kronenbourg Brewery,France,1664,1664,Geronimus Hatt
Lagunitas,USA,1993,IPA,Tony Magee
Left Hand Brewing,USA,1993,Milk Stout Nitro,"Eric Wallace, Dick Doore"
Lindheim Ølkompani,Norway,2013,Lords of Acid,Eivin Lindheim
Lowlander Beer,Belgium,2016,Lowlander I.P.A,Frederik Kampman
Magic Rock Brewing,England,2011,Cannonball,Richard Burhouse
Mikkeller,Denmark,2006,Beer Geek Breakfast,"Mikkel Borg Bjergsø, Kristian Klarup Keller"
Mikkeller Baghaven,Denmark,2017,Granadilla,Mikkel Borg Bjergsø
Miller Brewing Company,USA,1855,Miller Lite,Frederick Miller
Nils Oscar,Sweden,1996,God Lager,Karl-David Sundberg
North Brewing,England,2015,Old Rasputin,"John Gyngel, Christian Townsley"
Northern Monk,England,2013,Faith,Russell Bisset
O/O Brewing,Sweden,2017,Can-O-Bliss Tropical IPA,"Olle Andersson, Olof Andersson"
Omnipollo,Sweden,2011,Nebuchadnezzar,"Henok Fentie, Karl Grandin"
Oppigårds bryggeri,Sweden,2004,New Sweden IPA,Björn Falkeström
Oskar Blues Brewery,USA,1997,Dale's Pale Ale,NA
Paulaner Baruerei,Germany,1600,Paulaner Hefe-Weißbier,NA
Pivovary Staropramen,"The Czech Republic",1869,Staropramen Premium,NA
