Beer,Type,ABV,Manufacturers,Food,Taste,Price,Volume,Untappd_rating
Spotancassis,Lambic,7,Mikkeller,Aperitif,"Berry, very sour taste with hints of cask, black currants, balsamic vinegar, cinnamon and red berries.","59,9kr",375ml,"3,78/5"
Caractère Rouge,Flanders Red Ale,7,Rodenbach,Aperitif,"Nuanced, very sour taste with hints of cask, ripe strawberries, light syrup, raspberry vinegar, almonds, blood grapefruit and cherries.",119kr,750ml,"4,17/5"
Strawberry Pie,Berliner Weisse,4,Brewski,Aperitif,"Sour taste with hints of strawberries, raspberries, lemon and vanilla.","38,9kr",339ml,"3,86/5"
Slice & Dice,Gose,"4,7",Brekeriet,"Asian, Vegetable","Bready, slightly sour taste with a little saltiness, hints of cucumber and honeydew melon.","32,9kr",330ml,"3,22/5"
Apple/Pomme,Lambic,4,Brouwerij Lindemands,Aperitif,"Fruity taste with sweetness and clear character of apples, hints of straw and cinnamon.","21,9kr",250ml,"3,48/5"
Oude Geuze,Lambic,6,Brouwerij 3 Fonteinen,"Shellfish, Vegetable, Aperitif","Very sour, fruity taste with hints of straw, grapefruit, apricot, herbs and lemon.",124kr,750ml,"4,09/5"
Berliner Vice,Berliner Weisse,"3,8",To Øl ,"Shellfish, Asian, Vegetable, ","Fruity, sour, slightly hop-aromatic taste with hints of pineapple, straw and grapefruit.",20.30kr,330ml,"3,3/5"
Tropic Thunder,Sour - Fruited,"4,5",Dugges Bryggeri,Aperitif,"Fruity, very sour taste with hints of passion fruit, peach, citrus and light bread.",32kr,330ml,"3,74/5"
Lush,Berliner Weisse,"5,3",Amundsen Brewey,Aperitif,"Berry, sour taste with hints of raspberry and lime.","27,9kr",330ml,"3,47/5"
Cuvée Armand & Gaston,Lambic,"5,5",Brouwerij 3 Fonteinen,"Pork, Bird, Fish, Shellfish","Nuanced, very sour taste with hints of cask, red apples, orange peel, apricot jam, sourdough loaf, straw and spices.",199kr,750ml,"4,36/5"
